2024-05-06 18:09:42 CPU Usage: 20.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
0d83340eb2a1   mysqlserver           0.05%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      1.48%     841.5MiB / 1GiB       82.18%    122kB / 116kB     0B / 1.02MB     63 | Load Average:  0.61, 1.59, 1.97 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.302/1.782/2.116/0.272 Avg:ms Max:
2024-05-06 18:10:21 CPU Usage: 40.5% | Memory Usage: 23.34% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           10.81%    208.7MiB / 1GiB       20.38%    2.31MB / 2.79MB   0B / 1.26MB     39
893a597ee7e4   tripmanagementquery   11.09%    256.4MiB / 1GiB       25.04%    2.52MB / 1.08MB   0B / 1.85MB     59
a590ec851b1e   calculationservice    0.00%     2.938MiB / 1GiB       0.29%     38.4kB / 36.9kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     18.81%    250.6MiB / 1GiB       24.47%    1.82MB / 5.28MB   0B / 6.62MB     53
542de0862de7   gmapsadapter          0.00%     50.04MiB / 1GiB       4.89%     342kB / 27.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.07%     1.656MiB / 1GiB       0.16%     15.8kB / 10.4kB   0B / 0B         5
9bc901cb6181   userservice           0.16%     1.468GiB / 2GiB       73.41%    75.6kB / 58.7kB   0B / 1.86MB     40
4b76beba0bca   logstash              0.56%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 979kB      40
9d48986e2e38   kibana                3.56%     479.5MiB / 1GiB       46.83%    2.25MB / 4.72MB   0B / 8.19kB     12
169fc0d27e17   monitor               3.54%     532.8MiB / 2GiB       26.01%    433kB / 21kB      0B / 2.65MB     18
8e05f3f7005f   elasticsearch         2.05%     1.416GiB / 2GiB       70.78%    4.71MB / 2.16MB   0B / 4.52MB     87
8c8b2a42cbcb   mongo                 2.31%     39.11MiB / 1GiB       3.82%     3.23MB / 815kB    41kB / 4.55MB   22
7cac5634af4e   rabbitmq              3.38%     99.26MiB / 512MiB     19.39%    2.22MB / 2.18MB   0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.06%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.63%     841.5MiB / 1GiB       82.18%    123kB / 116kB     0B / 1.06MB     63 | Load Average:  0.83, 1.61, 1.97 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.538/1.662/1.870/0.118 Avg:ms Max:
2024-05-06 18:10:29 CPU Usage: 32.4% | Memory Usage: 23.36% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           8.78%     208.9MiB / 1GiB       20.40%    2.91MB / 3.52MB   0B / 1.29MB     39
893a597ee7e4   tripmanagementquery   4.48%     256.6MiB / 1GiB       25.06%    3.18MB / 1.36MB   0B / 1.88MB     59
a590ec851b1e   calculationservice    0.00%     2.938MiB / 1GiB       0.29%     38.7kB / 37.2kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     55.35%    263.8MiB / 1GiB       25.76%    2.29MB / 6.65MB   0B / 11.6MB     53
542de0862de7   gmapsadapter          0.00%     50.04MiB / 1GiB       4.89%     342kB / 27.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     15.8kB / 10.4kB   0B / 0B         5
9bc901cb6181   userservice           0.10%     1.468GiB / 2GiB       73.41%    75.6kB / 58.7kB   0B / 1.88MB     40
4b76beba0bca   logstash              0.50%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 995kB      40
9d48986e2e38   kibana                3.36%     479.5MiB / 1GiB       46.83%    2.26MB / 4.78MB   0B / 8.19kB     12
169fc0d27e17   monitor               1.51%     534MiB / 2GiB         26.08%    534kB / 25.5kB    0B / 2.67MB     18
8e05f3f7005f   elasticsearch         1.51%     1.416GiB / 2GiB       70.78%    4.77MB / 2.17MB   0B / 4.53MB     87
8c8b2a42cbcb   mongo                 2.39%     40.37MiB / 1GiB       3.94%     4.07MB / 1.02MB   41kB / 5.51MB   22
7cac5634af4e   rabbitmq              45.37%    99.47MiB / 512MiB     19.43%    2.8MB / 2.75MB    0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.04%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.50%     841.5MiB / 1GiB       82.18%    123kB / 116kB     0B / 1.07MB     63 | Load Average:  0.77, 1.58, 1.96 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.349/1.676/1.936/0.200 Avg:ms Max:
2024-05-06 18:10:37 CPU Usage: 31.2% | Memory Usage: 23.38% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
