2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
893a597ee7e4   tripmanagementquery   1.08%     299.2MiB / 1GiB       29.22%    58.1MB / 24.6MB   0B / 30.6MB     63
a590ec851b1e   calculationservice    0.30%     7.566MiB / 1GiB       0.74%     52.2MB / 64.7MB   0B / 0B         7
ee7d2be91e49   tripmanagementcmd     76.55%    396.5MiB / 1GiB       38.72%    67.8GB / 325MB    270kB / 160MB   53
542de0862de7   gmapsadapter          0.20%     70.99MiB / 1GiB       6.93%     33.9MB / 24.6MB   0B / 16.4kB     22
80cf21d912f2   notificationservice   0.09%     21.52MiB / 1GiB       2.10%     17MB / 3.37MB     0B / 0B         6
9bc901cb6181   userservice           0.09%     1.519GiB / 2GiB       75.93%    557kB / 644kB     0B / 22.4MB     40
4b76beba0bca   logstash              0.70%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.3MB     40
9d48986e2e38   kibana                3.66%     484.9MiB / 1GiB       47.35%    15.8MB / 80.5MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.21%     739.4MiB / 2GiB       36.10%    33.8MB / 2.25MB   0B / 34.3MB     18
8e05f3f7005f   elasticsearch         0.70%     1.451GiB / 2GiB       72.57%    80.3MB / 15.5MB   81.9kB / 49MB   88
8c8b2a42cbcb   mongo                 9.94%     104.4MiB / 1GiB       10.20%    279MB / 67.7GB    41kB / 199MB    23
7cac5634af4e   rabbitmq              1.81%     104.2MiB / 512MiB     20.35%    102MB / 100MB     0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB     38
bad4d64f3501   discoveryservice      0.47%     923.6MiB / 1GiB       90.19%    2.13MB / 1.74MB   0B / 14.6MB     63 | Load Average:  1.74, 2.02, 1.82 | Process Count: 313 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.538/1.729/1.873/0.124 Avg:ms Max:
2024-05-06 21:14:57 CPU Usage: 57.6% | Memory Usage: 27.43% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           0.62%     223.4MiB / 1GiB       21.81%    97.7MB / 126MB    0B / 29MB       39
893a597ee7e4   tripmanagementquery   0.64%     299.2MiB / 1GiB       29.22%    58.1MB / 24.6MB   0B / 30.6MB     63
a590ec851b1e   calculationservice    0.26%     7.551MiB / 1GiB       0.74%     52.3MB / 64.7MB   0B / 0B         7
ee7d2be91e49   tripmanagementcmd     79.98%    396.5MiB / 1GiB       38.72%    67.9GB / 325MB    270kB / 160MB   53
542de0862de7   gmapsadapter          0.19%     70.67MiB / 1GiB       6.90%     34MB / 24.6MB     0B / 16.4kB     22
80cf21d912f2   notificationservice   0.08%     21.52MiB / 1GiB       2.10%     17.1MB / 3.37MB   0B / 0B         6
9bc901cb6181   userservice           0.11%     1.519GiB / 2GiB       75.93%    557kB / 644kB     0B / 22.4MB     40
4b76beba0bca   logstash              0.35%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.3MB     40
9d48986e2e38   kibana                3.33%     484.9MiB / 1GiB       47.35%    15.9MB / 80.6MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.20%     739.4MiB / 2GiB       36.10%    33.9MB / 2.25MB   0B / 34.3MB     18
8e05f3f7005f   elasticsearch         0.47%     1.451GiB / 2GiB       72.57%    80.3MB / 15.5MB   81.9kB / 49MB   88
8c8b2a42cbcb   mongo                 9.28%     104.3MiB / 1GiB       10.19%    280MB / 67.9GB    41kB / 199MB    23
7cac5634af4e   rabbitmq              3.17%     102.7MiB / 512MiB     20.06%    102MB / 100MB     0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB     38
bad4d64f3501   discoveryservice      0.43%     920.7MiB / 1GiB       89.91%    2.13MB / 1.74MB   0B / 14.7MB     63 | Load Average:  1.71, 2.00, 1.81 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.785/2.001/2.245/0.173 Avg:ms Max:
2024-05-06 21:15:05 CPU Usage: 55.9% | Memory Usage: 27.40% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.55%     223.4MiB / 1GiB       21.81%    97.7MB / 126MB    0B / 29MB         39
893a597ee7e4   tripmanagementquery   0.61%     299.2MiB / 1GiB       29.22%    58.1MB / 24.6MB   0B / 30.6MB       63
a590ec851b1e   calculationservice    0.25%     7.551MiB / 1GiB       0.74%     52.3MB / 64.7MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.22%    400.2MiB / 1GiB       39.08%    68.1GB / 326MB    270kB / 160MB     53
542de0862de7   gmapsadapter          0.18%     70.39MiB / 1GiB       6.87%     34MB / 24.6MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.08%     21.52MiB / 1GiB       2.10%     17.1MB / 3.38MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.519GiB / 2GiB       75.93%    557kB / 644kB     0B / 22.4MB       40
4b76beba0bca   logstash              0.62%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                2.40%     484.8MiB / 1GiB       47.35%    15.9MB / 80.6MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.17%     739.4MiB / 2GiB       36.10%    33.9MB / 2.25MB   0B / 34.3MB       18
8e05f3f7005f   elasticsearch         1.76%     1.451GiB / 2GiB       72.57%    80.4MB / 15.6MB   81.9kB / 49.1MB   88
8c8b2a42cbcb   mongo                 10.40%    104.2MiB / 1GiB       10.18%    280MB / 68GB      41kB / 199MB      23
7cac5634af4e   rabbitmq              71.58%    103.1MiB / 512MiB     20.14%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.05%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.46%     920.7MiB / 1GiB       89.91%    2.13MB / 1.74MB   0B / 14.7MB       63 | Load Average:  1.57, 1.97, 1.81 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.731/1.832/2.145/0.157 Avg:ms Max:
2024-05-06 21:15:12 CPU Usage: 63.6% | Memory Usage: 27.41% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.59%     223.4MiB / 1GiB       21.81%    97.8MB / 126MB    0B / 29MB         39
893a597ee7e4   tripmanagementquery   0.65%     299.2MiB / 1GiB       29.22%    58.2MB / 24.6MB   0B / 30.6MB       63
a590ec851b1e   calculationservice    0.29%     7.59MiB / 1GiB        0.74%     52.3MB / 64.8MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.15%    399.6MiB / 1GiB       39.02%    68.2GB / 326MB    270kB / 160MB     53
542de0862de7   gmapsadapter          0.30%     70.22MiB / 1GiB       6.86%     34MB / 24.7MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.08%     21.52MiB / 1GiB       2.10%     17.1MB / 3.38MB   0B / 0B           6
9bc901cb6181   userservice           0.11%     1.519GiB / 2GiB       75.93%    558kB / 645kB     0B / 22.4MB       40
4b76beba0bca   logstash              0.38%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                3.84%     484.8MiB / 1GiB       47.35%    15.9MB / 80.7MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     739.4MiB / 2GiB       36.10%    34MB / 2.26MB     0B / 34.4MB       18
8e05f3f7005f   elasticsearch         0.80%     1.451GiB / 2GiB       72.57%    80.5MB / 15.6MB   81.9kB / 49.1MB   88
8c8b2a42cbcb   mongo                 10.11%    104.3MiB / 1GiB       10.18%    281MB / 68.2GB    41kB / 199MB      23
7cac5634af4e   rabbitmq              1.59%     103.2MiB / 512MiB     20.15%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.65%     920.7MiB / 1GiB       89.91%    2.13MB / 1.74MB   0B / 14.7MB       63 | Load Average:  1.56, 1.95, 1.80 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.417/1.647/1.775/0.128 Avg:ms Max:
2024-05-06 21:15:20 CPU Usage: 65.6% | Memory Usage: 27.42% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.54%     223.4MiB / 1GiB       21.81%    97.8MB / 126MB    0B / 29.1MB       39
893a597ee7e4   tripmanagementquery   0.72%     299.2MiB / 1GiB       29.22%    58.2MB / 24.6MB   0B / 30.6MB       63
a590ec851b1e   calculationservice    0.28%     7.688MiB / 1GiB       0.75%     52.4MB / 64.8MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     80.94%    396.6MiB / 1GiB       38.73%    68.4GB / 327MB    270kB / 160MB     53
542de0862de7   gmapsadapter          2.82%     53.37MiB / 1GiB       5.21%     34MB / 24.7MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.52MiB / 1GiB       2.10%     17.1MB / 3.38MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.519GiB / 2GiB       75.93%    558kB / 645kB     0B / 22.4MB       40
4b76beba0bca   logstash              0.38%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                3.21%     484.8MiB / 1GiB       47.35%    15.9MB / 80.7MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.19%     739.4MiB / 2GiB       36.10%    34MB / 2.26MB     0B / 34.4MB       18
8e05f3f7005f   elasticsearch         0.44%     1.451GiB / 2GiB       72.57%    80.5MB / 15.6MB   81.9kB / 49.1MB   88
8c8b2a42cbcb   mongo                 9.47%     104.3MiB / 1GiB       10.19%    281MB / 68.3GB    41kB / 199MB      23
7cac5634af4e   rabbitmq              2.18%     103.2MiB / 512MiB     20.16%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.70%     920.7MiB / 1GiB       89.91%    2.13MB / 1.74MB   0B / 14.7MB       63 | Load Average:  1.55, 1.94, 1.80 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.605/1.753/1.931/0.110 Avg:ms Max:
2024-05-06 21:15:28 CPU Usage: 57.6% | Memory Usage: 27.37% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.61%     223.4MiB / 1GiB       21.81%    97.8MB / 126MB    0B / 29.1MB       39
893a597ee7e4   tripmanagementquery   0.66%     299.2MiB / 1GiB       29.22%    58.2MB / 24.6MB   0B / 30.7MB       63
a590ec851b1e   calculationservice    0.26%     7.547MiB / 1GiB       0.74%     52.4MB / 64.9MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.62%    396.6MiB / 1GiB       38.73%    68.5GB / 328MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.25%     53.23MiB / 1GiB       5.20%     34MB / 24.7MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.09%     21.52MiB / 1GiB       2.10%     17.1MB / 3.38MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.519GiB / 2GiB       75.93%    558kB / 645kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.37%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                2.68%     484.8MiB / 1GiB       47.35%    15.9MB / 80.8MB   0B / 8.19kB       12
169fc0d27e17   monitor               2.79%     739.4MiB / 2GiB       36.10%    34.1MB / 2.27MB   0B / 34.4MB       18
8e05f3f7005f   elasticsearch         0.74%     1.451GiB / 2GiB       72.57%    80.6MB / 15.6MB   81.9kB / 49.1MB   88
8c8b2a42cbcb   mongo                 9.22%     104.5MiB / 1GiB       10.20%    282MB / 68.5GB    41kB / 200MB      23
7cac5634af4e   rabbitmq              1.41%     103.4MiB / 512MiB     20.19%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.46%     920.7MiB / 1GiB       89.91%    2.13MB / 1.74MB   0B / 14.7MB       63 | Load Average:  1.43, 1.91, 1.79 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.665/2.010/2.299/0.220 Avg:ms Max:
2024-05-06 21:15:36 CPU Usage: 61.8% | Memory Usage: 27.35% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.59%     223.4MiB / 1GiB       21.81%    97.9MB / 126MB    0B / 29.1MB       39
893a597ee7e4   tripmanagementquery   0.70%     299.2MiB / 1GiB       29.22%    58.3MB / 24.7MB   0B / 30.7MB       63
a590ec851b1e   calculationservice    0.37%     7.594MiB / 1GiB       0.74%     52.5MB / 64.9MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.22%    396.8MiB / 1GiB       38.75%    68.7GB / 328MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.25%     53.98MiB / 1GiB       5.27%     34MB / 24.7MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.12%     21.52MiB / 1GiB       2.10%     17.1MB / 3.39MB   0B / 0B           6
9bc901cb6181   userservice           0.22%     1.519GiB / 2GiB       75.93%    558kB / 646kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.59%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                3.58%     484.9MiB / 1GiB       47.35%    15.9MB / 80.8MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.19%     739.4MiB / 2GiB       36.10%    34.1MB / 2.27MB   0B / 34.4MB       18
8e05f3f7005f   elasticsearch         0.67%     1.451GiB / 2GiB       72.57%    80.6MB / 15.6MB   81.9kB / 49.2MB   88
8c8b2a42cbcb   mongo                 10.78%    104.5MiB / 1GiB       10.20%    282MB / 68.7GB    41kB / 200MB      23
7cac5634af4e   rabbitmq              2.50%     103.4MiB / 512MiB     20.20%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.05%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.63%     920.7MiB / 1GiB       89.91%    2.14MB / 1.74MB   0B / 14.7MB       63 | Load Average:  1.52, 1.91, 1.79 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.632/1.795/2.020/0.125 Avg:ms Max:
2024-05-06 21:15:44 CPU Usage: 59.4% | Memory Usage: 27.36% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.56%     223.4MiB / 1GiB       21.81%    97.9MB / 126MB    0B / 29.1MB       39
893a597ee7e4   tripmanagementquery   0.67%     299.2MiB / 1GiB       29.22%    58.3MB / 24.7MB   0B / 30.7MB       63
a590ec851b1e   calculationservice    0.48%     7.609MiB / 1GiB       0.74%     52.5MB / 65MB     0B / 0B           7
ee7d2be91e49   tripmanagementcmd     74.51%    396.8MiB / 1GiB       38.75%    68.8GB / 329MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.26%     54.95MiB / 1GiB       5.37%     34MB / 24.7MB     0B / 16.4kB       22
80cf21d912f2   notificationservice   0.08%     21.52MiB / 1GiB       2.10%     17.1MB / 3.39MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.519GiB / 2GiB       75.93%    558kB / 646kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.60%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.4MB       40
9d48986e2e38   kibana                2.86%     484.8MiB / 1GiB       47.35%    15.9MB / 80.9MB   0B / 8.19kB       12
169fc0d27e17   monitor               2.78%     739.4MiB / 2GiB       36.10%    34.1MB / 2.27MB   0B / 34.5MB       18
8e05f3f7005f   elasticsearch         0.27%     1.451GiB / 2GiB       72.57%    80.6MB / 15.6MB   81.9kB / 49.2MB   88
8c8b2a42cbcb   mongo                 10.82%    104.7MiB / 1GiB       10.22%    283MB / 68.8GB    41kB / 200MB      23
7cac5634af4e   rabbitmq              1.98%     103.4MiB / 512MiB     20.19%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.54%     920.7MiB / 1GiB       89.91%    2.14MB / 1.75MB   0B / 14.8MB       63 | Load Average:  1.48, 1.89, 1.79 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.671/1.892/2.153/0.157 Avg:ms Max:
2024-05-06 21:15:52 CPU Usage: 63.9% | Memory Usage: 27.38% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.55%     223.4MiB / 1GiB       21.81%    97.9MB / 126MB    0B / 29.2MB       39
893a597ee7e4   tripmanagementquery   0.68%     299.2MiB / 1GiB       29.22%    58.3MB / 24.7MB   0B / 30.7MB       63
a590ec851b1e   calculationservice    0.30%     7.625MiB / 1GiB       0.74%     52.6MB / 65MB     0B / 0B           7
ee7d2be91e49   tripmanagementcmd     82.17%    396.7MiB / 1GiB       38.74%    69GB / 329MB      270kB / 161MB     53
542de0862de7   gmapsadapter          0.36%     55.88MiB / 1GiB       5.46%     34.1MB / 24.7MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.09%     21.52MiB / 1GiB       2.10%     17.1MB / 3.39MB   0B / 0B           6
9bc901cb6181   userservice           0.12%     1.519GiB / 2GiB       75.93%    558kB / 646kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.36%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.5MB       40
9d48986e2e38   kibana                3.47%     484.8MiB / 1GiB       47.35%    15.9MB / 80.9MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     739.4MiB / 2GiB       36.10%    34.2MB / 2.28MB   0B / 34.5MB       18
8e05f3f7005f   elasticsearch         0.84%     1.451GiB / 2GiB       72.57%    80.7MB / 15.6MB   81.9kB / 49.2MB   88
8c8b2a42cbcb   mongo                 9.61%     104.4MiB / 1GiB       10.20%    283MB / 69GB      41kB / 200MB      23
7cac5634af4e   rabbitmq              2.49%     103.4MiB / 512MiB     20.20%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.54%     920.7MiB / 1GiB       89.91%    2.14MB / 1.75MB   0B / 14.8MB       63 | Load Average:  1.33, 1.85, 1.77 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.751/1.956/2.247/0.234 Avg:ms Max:
2024-05-06 21:16:00 CPU Usage: 57.1% | Memory Usage: 27.36% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.58%     223.4MiB / 1GiB       21.81%    98MB / 126MB      0B / 29.2MB       39
893a597ee7e4   tripmanagementquery   0.68%     299.2MiB / 1GiB       29.22%    58.4MB / 24.7MB   0B / 30.7MB       63
a590ec851b1e   calculationservice    0.30%     7.629MiB / 1GiB       0.75%     52.6MB / 65.1MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     75.62%    396.9MiB / 1GiB       38.76%    69.1GB / 330MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.25%     56.52MiB / 1GiB       5.52%     34.1MB / 24.7MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.52MiB / 1GiB       2.10%     17.2MB / 3.39MB   0B / 0B           6
9bc901cb6181   userservice           0.10%     1.519GiB / 2GiB       75.93%    558kB / 646kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.65%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.5MB       40
9d48986e2e38   kibana                3.06%     484.8MiB / 1GiB       47.35%    15.9MB / 81MB     0B / 8.19kB       12
169fc0d27e17   monitor               3.12%     739.4MiB / 2GiB       36.10%    34.2MB / 2.28MB   0B / 34.5MB       18
8e05f3f7005f   elasticsearch         0.42%     1.451GiB / 2GiB       72.57%    80.8MB / 15.6MB   81.9kB / 49.2MB   88
8c8b2a42cbcb   mongo                 9.81%     104.7MiB / 1GiB       10.23%    284MB / 69.1GB    41kB / 201MB      23
7cac5634af4e   rabbitmq              6.51%     102.1MiB / 512MiB     19.93%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.34%     920.7MiB / 1GiB       89.91%    2.14MB / 1.75MB   0B / 14.8MB       63 | Load Average:  1.30, 1.83, 1.77 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.602/1.811/1.971/0.144 Avg:ms Max:
2024-05-06 21:16:07 CPU Usage: 57.1% | Memory Usage: 27.35% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.62%     223.4MiB / 1GiB       21.81%    98MB / 126MB      0B / 29.2MB       39
893a597ee7e4   tripmanagementquery   0.72%     299.2MiB / 1GiB       29.22%    58.4MB / 24.7MB   0B / 30.8MB       63
a590ec851b1e   calculationservice    0.32%     7.629MiB / 1GiB       0.75%     52.6MB / 65.1MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     80.47%    396.9MiB / 1GiB       38.76%    69.3GB / 330MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.24%     57.22MiB / 1GiB       5.59%     34.1MB / 24.8MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   1.16%     21.52MiB / 1GiB       2.10%     17.2MB / 3.39MB   0B / 0B           6
9bc901cb6181   userservice           0.11%     1.519GiB / 2GiB       75.93%    559kB / 647kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.40%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.5MB       40
9d48986e2e38   kibana                3.90%     484.9MiB / 1GiB       47.35%    15.9MB / 81MB     0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     739.4MiB / 2GiB       36.10%    34.3MB / 2.29MB   0B / 34.5MB       18
8e05f3f7005f   elasticsearch         1.79%     1.451GiB / 2GiB       72.57%    80.8MB / 15.6MB   81.9kB / 49.3MB   88
8c8b2a42cbcb   mongo                 9.76%     104.8MiB / 1GiB       10.23%    284MB / 69.3GB    41kB / 201MB      23
7cac5634af4e   rabbitmq              1.00%     102.1MiB / 512MiB     19.94%    102MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.09%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.63%     920.7MiB / 1GiB       89.91%    2.14MB / 1.75MB   0B / 14.8MB       63 | Load Average:  1.26, 1.81, 1.76 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.297/1.828/2.287/0.334 Avg:ms Max:
2024-05-06 21:16:15 CPU Usage: 97.2% | Memory Usage: 27.37% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.51%     223.4MiB / 1GiB       21.81%    98MB / 126MB      0B / 29.2MB       39
893a597ee7e4   tripmanagementquery   1.09%     299.3MiB / 1GiB       29.23%    58.4MB / 24.7MB   0B / 30.8MB       63
a590ec851b1e   calculationservice    0.31%     7.621MiB / 1GiB       0.74%     52.7MB / 65.2MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     81.87%    396.8MiB / 1GiB       38.75%    69.4GB / 331MB    270kB / 161MB     53
542de0862de7   gmapsadapter          0.22%     58.12MiB / 1GiB       5.68%     34.1MB / 24.8MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.09%     21.52MiB / 1GiB       2.10%     17.2MB / 3.4MB    0B / 0B           6
9bc901cb6181   userservice           0.12%     1.519GiB / 2GiB       75.93%    559kB / 647kB     0B / 22.5MB       40
4b76beba0bca   logstash              0.34%     1.082GiB / 31.34GiB   3.45%     14.5kB / 2.75kB   0B / 17.5MB       40
9d48986e2e38   kibana                3.27%     484.8MiB / 1GiB       47.35%    15.9MB / 81.1MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.19%     739.4MiB / 2GiB       36.10%    34.3MB / 2.29MB   0B / 34.5MB       18
8e05f3f7005f   elasticsearch         0.61%     1.451GiB / 2GiB       72.57%    80.9MB / 15.6MB   81.9kB / 49.3MB   88
8c8b2a42cbcb   mongo                 9.36%     104.5MiB / 1GiB       10.21%    285MB / 69.4GB    41kB / 201MB      23
7cac5634af4e   rabbitmq              2.25%     102.2MiB / 512MiB     19.97%    103MB / 101MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.43%     919.6MiB / 1GiB       89.81%    2.14MB / 1.75MB   0B / 14.8MB       63 | Load Average:  1.60, 1.86, 1.78 | Process Count: 313 | Network Usage:  | Disk I/O Latency: Read:3.42 Write:8.89 | Network Latency: Min:1.660/2.047/2.540/0.300 Avg:ms Max:
2024-05-06 21:16:23 CPU Usage: 66.7% | Memory Usage: 27.36% | I/O Usage (read write): 3.42 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.65%     223.4MiB / 1GiB       21.81%    98MB / 126MB      0B / 29.2MB       39
893a597ee7e4   tripmanagementquery   0.65%     299.3MiB / 1GiB       29.23%    58.5MB / 24.7MB   0B / 30.8MB       63
