2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
ee7d2be91e49   tripmanagementcmd     11.84%    376.6MiB / 1GiB       36.78%    48.5GB / 223MB    0B / 105MB     53
542de0862de7   gmapsadapter          0.00%     51.51MiB / 1GiB       5.03%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.90%    483kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.80%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                4.36%     484.2MiB / 1GiB       47.28%    14.1MB / 70.5MB   0B / 8.19kB    12
169fc0d27e17   monitor               0.23%     726.2MiB / 2GiB       35.46%    22.1MB / 1.59MB   0B / 29.5MB    18
8e05f3f7005f   elasticsearch         0.78%     1.451GiB / 2GiB       72.54%    70.3MB / 13.8MB   0B / 43.5MB    88
8c8b2a42cbcb   mongo                 3.27%     83.16MiB / 1GiB       8.12%     193MB / 48.5GB    41kB / 127MB   23
7cac5634af4e   rabbitmq              3.57%     102.1MiB / 512MiB     19.94%    60.1MB / 60.1MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.07%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.52%     917.6MiB / 1GiB       89.61%    1.85MB / 1.52MB   0B / 13.4MB    63 | Load Average:  2.32, 0.68, 0.39 | Process Count: 314 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.546/1.683/1.785/0.087 Avg:ms Max:
2024-05-06 20:50:38 CPU Usage: 20.6% | Memory Usage: 27.11% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           6.04%     223.3MiB / 1GiB       21.80%    61.6MB / 79.5MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   2.77%     298.1MiB / 1GiB       29.12%    41.8MB / 19MB     0B / 26.7MB    63
a590ec851b1e   calculationservice    0.00%     4.477MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     8.75%     377.5MiB / 1GiB       36.87%    48.5GB / 224MB    0B / 105MB     53
542de0862de7   gmapsadapter          0.00%     51.51MiB / 1GiB       5.03%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.11%     1.518GiB / 2GiB       75.90%    484kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.52%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                4.01%     484.2MiB / 1GiB       47.28%    14.1MB / 70.6MB   0B / 8.19kB    12
169fc0d27e17   monitor               3.02%     726.2MiB / 2GiB       35.46%    22.2MB / 1.59MB   0B / 29.5MB    18
8e05f3f7005f   elasticsearch         0.64%     1.451GiB / 2GiB       72.54%    70.4MB / 13.8MB   0B / 43.5MB    88
8c8b2a42cbcb   mongo                 2.50%     84.3MiB / 1GiB        8.23%     194MB / 48.5GB    41kB / 128MB   23
7cac5634af4e   rabbitmq              5.32%     102.1MiB / 512MiB     19.94%    60.8MB / 60.8MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.07%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.69%     917.6MiB / 1GiB       89.61%    1.86MB / 1.52MB   0B / 13.4MB    63 | Load Average:  2.13, 0.67, 0.39 | Process Count: 314 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.619/1.790/1.904/0.101 Avg:ms Max:
2024-05-06 20:50:46 CPU Usage: 27.3% | Memory Usage: 27.12% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           5.59%     223.3MiB / 1GiB       21.80%    62.4MB / 80.5MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.12%     298.1MiB / 1GiB       29.12%    42.6MB / 19.4MB   0B / 26.7MB    63
a590ec851b1e   calculationservice    0.00%     4.484MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     9.59%     378.5MiB / 1GiB       36.96%    48.5GB / 226MB    0B / 110MB     53
542de0862de7   gmapsadapter          0.00%     50.97MiB / 1GiB       4.98%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.16%     1.518GiB / 2GiB       75.90%    484kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.64%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                3.88%     484.2MiB / 1GiB       47.28%    14.1MB / 70.6MB   0B / 8.19kB    12
169fc0d27e17   monitor               0.23%     726.2MiB / 2GiB       35.46%    22.3MB / 1.59MB   0B / 29.6MB    18
8e05f3f7005f   elasticsearch         0.75%     1.451GiB / 2GiB       72.54%    70.4MB / 13.8MB   0B / 43.5MB    88
8c8b2a42cbcb   mongo                 2.66%     85.55MiB / 1GiB       8.35%     195MB / 48.5GB    41kB / 129MB   23
7cac5634af4e   rabbitmq              3.42%     102.3MiB / 512MiB     19.98%    61.6MB / 61.5MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.07%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.73%     917.6MiB / 1GiB       89.61%    1.86MB / 1.52MB   0B / 13.4MB    63 | Load Average:  1.95, 0.68, 0.40 | Process Count: 314 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.531/1.720/1.979/0.161 Avg:ms Max:
2024-05-06 20:50:54 CPU Usage: 26.5% | Memory Usage: 27.13% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           5.66%     223.3MiB / 1GiB       21.81%    63.2MB / 81.3MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   2.87%     298.1MiB / 1GiB       29.12%    43.5MB / 19.7MB   0B / 26.7MB    63
a590ec851b1e   calculationservice    0.02%     4.488MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     10.08%    379.5MiB / 1GiB       37.06%    48.5GB / 228MB    0B / 110MB     53
542de0862de7   gmapsadapter          0.00%     50.97MiB / 1GiB       4.98%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.90%    484kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.55%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                2.95%     484.2MiB / 1GiB       47.28%    14.1MB / 70.7MB   0B / 8.19kB    12
169fc0d27e17   monitor               2.63%     726.2MiB / 2GiB       35.46%    22.4MB / 1.6MB    0B / 29.6MB    18
8e05f3f7005f   elasticsearch         0.27%     1.451GiB / 2GiB       72.54%    70.5MB / 13.8MB   0B / 43.5MB    88
8c8b2a42cbcb   mongo                 2.64%     86.95MiB / 1GiB       8.49%     196MB / 48.5GB    41kB / 130MB   23
7cac5634af4e   rabbitmq              4.18%     102.5MiB / 512MiB     20.03%    62.3MB / 62.2MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.06%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.53%     917.6MiB / 1GiB       89.61%    1.86MB / 1.52MB   0B / 13.4MB    63 | Load Average:  1.96, 0.70, 0.41 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.440/1.729/1.898/0.175 Avg:ms Max:
2024-05-06 20:51:02 CPU Usage: 21.2% | Memory Usage: 27.12% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           5.71%     223.3MiB / 1GiB       21.80%    63.8MB / 82.1MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.26%     298.2MiB / 1GiB       29.12%    44.3MB / 20.1MB   0B / 26.7MB    63
a590ec851b1e   calculationservice    0.12%     4.484MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     11.09%    380.4MiB / 1GiB       37.15%    48.5GB / 229MB    0B / 115MB     53
542de0862de7   gmapsadapter          0.00%     50.97MiB / 1GiB       4.98%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.08%     1.518GiB / 2GiB       75.90%    484kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.39%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                3.48%     484.2MiB / 1GiB       47.28%    14.1MB / 70.7MB   0B / 8.19kB    12
169fc0d27e17   monitor               0.23%     726.2MiB / 2GiB       35.46%    22.5MB / 1.6MB    0B / 29.6MB    18
8e05f3f7005f   elasticsearch         0.61%     1.451GiB / 2GiB       72.54%    70.5MB / 13.8MB   0B / 43.6MB    88
8c8b2a42cbcb   mongo                 2.96%     87.92MiB / 1GiB       8.59%     197MB / 48.5GB    41kB / 131MB   23
7cac5634af4e   rabbitmq              3.05%     101.2MiB / 512MiB     19.78%    63MB / 62.9MB     0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.07%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.94%     917.6MiB / 1GiB       89.61%    1.86MB / 1.52MB   0B / 13.4MB    63 | Load Average:  1.80, 0.71, 0.41 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.375/1.616/1.861/0.161 Avg:ms Max:
2024-05-06 20:51:09 CPU Usage: 21.9% | Memory Usage: 27.12% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           6.70%     223.3MiB / 1GiB       21.80%    64.6MB / 83.1MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.50%     298.2MiB / 1GiB       29.12%    45.1MB / 20.4MB   0B / 26.8MB    63
a590ec851b1e   calculationservice    0.00%     4.484MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     11.40%    381.5MiB / 1GiB       37.25%    48.5GB / 231MB    0B / 115MB     53
542de0862de7   gmapsadapter          0.00%     50.97MiB / 1GiB       4.98%     18.6MB / 13.5MB   0B / 16.4kB    22
